	reverting_bot	reverted_bot	total_reverts	ns0_reverts	ex0	ex1	ex2	ex3	ex4	ex5	ex6	ex7	ex8	ex9	ex10
0	"=HYPERLINK(""http://enwp.org/User:FrescoBot"",""FrescoBot"")"	"=HYPERLINK(""http://enwp.org/User:Mathbot"",""Mathbot"")"	58.0	58.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(I)&diff=prev&oldid=499351609"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(N)&diff=prev&oldid=470770920"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(X)&diff=prev&oldid=371875408"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(Y)&diff=prev&oldid=470771029"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(Y)&diff=prev&oldid=499356169"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(I)&diff=prev&oldid=518230128"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(E)&diff=prev&oldid=495384979"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(K)&diff=prev&oldid=470770888"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(X)&diff=prev&oldid=462402509"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_mathematicians_(O)&diff=prev&oldid=499351706"",""diff"")"	
1	"=HYPERLINK(""http://enwp.org/User:Addbot"",""Addbot"")"	"=HYPERLINK(""http://enwp.org/User:Chobot"",""Chobot"")"	1825.0	154.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:2nd_century_in_Asia&diff=prev&oldid=545773603"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:20th_century_in_Antigua_and_Barbuda&diff=prev&oldid=545474363"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1947_in_North_Korea&diff=prev&oldid=545979638"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1721_works&diff=prev&oldid=546576280"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Energy_in_Monaco&diff=prev&oldid=546184518"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Astronomical_objects_discovered_in_1994&diff=prev&oldid=545781193"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1952_in_international_relations&diff=prev&oldid=546766120"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Communications_in_Samoa&diff=prev&oldid=544655405"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Religion_in_Belize&diff=prev&oldid=544628227"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Natural_history_of_Guyana&diff=prev&oldid=544385123"",""diff"")"	
2	"=HYPERLINK(""http://enwp.org/User:Xqbot"",""Xqbot"")"	"=HYPERLINK(""http://enwp.org/User:Chobot"",""Chobot"")"	34.0	34.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Karuizawa_Station&diff=prev&oldid=406764007"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Zuwarah&diff=prev&oldid=535034027"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Natsuna_Watanabe&diff=prev&oldid=514530420"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Marineland_of_Canada&diff=prev&oldid=355224923"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Scorpion&diff=prev&oldid=335501366"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Three_Hundred_and_Thirty_Five_Years'_War&diff=prev&oldid=350497332"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=University&diff=prev&oldid=438345390"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Vologda_Oblast&diff=prev&oldid=433289634"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Imbros&diff=prev&oldid=351181135"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Swimming_at_the_1896_Summer_Olympics_–_Men's_1200_metre_freestyle&diff=prev&oldid=354420982"",""diff"")"	
3	"=HYPERLINK(""http://enwp.org/User:EmausBot"",""EmausBot"")"	"=HYPERLINK(""http://enwp.org/User:Chobot"",""Chobot"")"	294.0	92.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:University_of_Tübingen_alumni&diff=prev&oldid=547921645"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Filipino_people_by_ethnic_or_national_origin&diff=prev&oldid=523459641"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Spanish_human_rights_activists&diff=prev&oldid=547955763"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Katsuhisa_Namase&diff=prev&oldid=508715580"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Miranda_Kerr&diff=prev&oldid=535022852"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:2019_in_Oceania&diff=prev&oldid=548796580"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Akira_Terao&diff=prev&oldid=508704286"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:622_BC&diff=prev&oldid=611545963"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Swarthmore_College_alumni&diff=prev&oldid=547882341"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Spanish_broadcasters&diff=prev&oldid=547964421"",""diff"")"	
4	"=HYPERLINK(""http://enwp.org/User:KLBot2"",""KLBot2"")"	"=HYPERLINK(""http://enwp.org/User:Chobot"",""Chobot"")"	172.0	7.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1603_works&diff=prev&oldid=546109527"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1493_works&diff=prev&oldid=546311375"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1622_works&diff=prev&oldid=546559800"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Oseam&diff=prev&oldid=545898107"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1670_in_Asia&diff=prev&oldid=546564446"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1683_works&diff=prev&oldid=546566354"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1800_in_Asia&diff=prev&oldid=546586698"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:World_War_II_submachine_guns&diff=prev&oldid=546155763"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Natural_history_of_Saint_Lucia&diff=prev&oldid=547606816"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:1457_works&diff=prev&oldid=546545936"",""diff"")"	
5	"=HYPERLINK(""http://enwp.org/User:タチコマ robot"",""タチコマ robot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	2056.0	1981.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Colombian_Conflict&diff=prev&oldid=152228124"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=I_Love_The_90's&diff=prev&oldid=189685939"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Zeugmatography&diff=prev&oldid=226741507"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=CSCA_Kyiv&diff=prev&oldid=154793420"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=U.S._3rd_Cavalry_Regiment&diff=prev&oldid=160198500"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Saiou_Enters!_The_Tarot_Deck_of_Destiny&diff=prev&oldid=196491106"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Plot_dump&diff=prev&oldid=158901773"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Horta,_Azores_Islands&diff=prev&oldid=590555010"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=American-Chinese_relations&diff=prev&oldid=167584817"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Original_Juice_Co&diff=prev&oldid=159588429"",""diff"")"	
6	"=HYPERLINK(""http://enwp.org/User:Cydebot"",""Cydebot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	964.0	882.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Mountain_Bike_Rally&diff=prev&oldid=310866817"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Education_in_Odisha&diff=prev&oldid=536213874"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Bayles_railway_station&diff=prev&oldid=175446043"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=2008_National_Cheerleading_Championship&diff=prev&oldid=376327139"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Eternal_Filena&diff=prev&oldid=310877709"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Super_Punch-Out!!&diff=prev&oldid=310878879"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=3801_Thrasymedes&diff=prev&oldid=599853085"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=(13060)_1991_EJ&diff=prev&oldid=599852665"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Frank_Almaguer&diff=prev&oldid=338654051"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Super_Star_Wars&diff=prev&oldid=310878951"",""diff"")"	
7	"=HYPERLINK(""http://enwp.org/User:BOTijo"",""BOTijo"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	31.0	31.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=War_Cry&diff=prev&oldid=259674733"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_Disney_Feature_Films&diff=prev&oldid=175453295"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Dangerously_in_love&diff=prev&oldid=257993484"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Pba&diff=prev&oldid=296705335"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Evga&diff=prev&oldid=323856679"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Nagisa_ni_Matsuwaru_Etc.&diff=prev&oldid=270387891"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Kansan_Glaciation&diff=prev&oldid=263130449"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=My_Name_Is_Legion&diff=prev&oldid=231439282"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=ZIP&diff=prev&oldid=322084382"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Inbev&diff=prev&oldid=262701916"",""diff"")"	
8	"=HYPERLINK(""http://enwp.org/User:Addbot"",""Addbot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	402.0	396.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Woman_Like_Me_(Beyoncé_song)&diff=prev&oldid=254580668"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Republic_of_ireland&diff=prev&oldid=255827937"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Publisher_1997&diff=prev&oldid=250834987"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=FC_Ceahlaul_Piatra_Neamt&diff=prev&oldid=257668258"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Icelandic_food&diff=prev&oldid=255822785"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Al_Wilson_(Candan_football)&diff=prev&oldid=260031839"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Flacăra_Bucureşti&diff=prev&oldid=257676705"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Glen_Jackson_(football_player)&diff=prev&oldid=260036570"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=The_Republic_Of_Ireland&diff=prev&oldid=255828140"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=India-Pakistan_Relations&diff=prev&oldid=256404966"",""diff"")"	
9	"=HYPERLINK(""http://enwp.org/User:Xqbot"",""Xqbot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	5163.0	4689.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=History_of_Communist_Romania&diff=prev&oldid=265777173"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:The_Office_(U.S._TV_series)_(season_3)&diff=prev&oldid=398552048"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Philip_I_of_Sweden&diff=prev&oldid=368084783"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Of_Leuchtenberg&diff=prev&oldid=273974572"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Jinhae_Bay&diff=prev&oldid=618278179"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Hooray_for_Thomas_&_Other_Adventures&diff=prev&oldid=265787400"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=NK_Bezigrad&diff=prev&oldid=372073583"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Paok_saloniki&diff=prev&oldid=611990516"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:Shaw_–_Howard_University_(Washington_Metro)&diff=prev&oldid=595955475"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=New_Friends_for_Thomas&diff=prev&oldid=265787098"",""diff"")"	
10	"=HYPERLINK(""http://enwp.org/User:Thehelpfulbot"",""Thehelpfulbot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	55.0	18.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Homestead_AFB,_Florida&diff=prev&oldid=439812796"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=User:Tlc2011/My_sandbox&diff=prev&oldid=429437801"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=User:Jmundo/Isla_de_Ratones&diff=prev&oldid=430845409"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:Marie_d'Orleans-Longueville,_Duchess_de_Nemours&diff=prev&oldid=432710097"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:Magallanes_and_the_Chilean_Antarctic_Region&diff=prev&oldid=438975516"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:FK_Gäncä&diff=prev&oldid=430328477"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:MAVEN_(NASA_Mission)&diff=prev&oldid=431327631"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:François_d’Orléans-Longueville,_duc_de_Fronsac&diff=prev&oldid=432709636"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Homestead_Army_Airfield&diff=prev&oldid=439812833"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Ion_Life_Channel&diff=prev&oldid=500255965"",""diff"")"	
11	"=HYPERLINK(""http://enwp.org/User:EmausBot"",""EmausBot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	878.0	836.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Tangkuo&diff=prev&oldid=418025824"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Wikipedia_talk:WikiProject_SpongeBob_SquarePants/Episode_Layout&diff=prev&oldid=563054801"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=QLD_Reds&diff=prev&oldid=440097138"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=CF97&diff=prev&oldid=416274135"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Pakistan-PRC_relation&diff=prev&oldid=459789014"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_the_500_greatest_albums_of_all_time&diff=prev&oldid=519537567"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=S._Ve._Shekhar&diff=prev&oldid=427590368"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Thomas_Edward_Neil_Driberg&diff=prev&oldid=418541143"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Alupka_Palace&diff=prev&oldid=442250634"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Finish-Greek_relations&diff=prev&oldid=441826697"",""diff"")"	
12	"=HYPERLINK(""http://enwp.org/User:AvicBot"",""AvicBot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	1789.0	1528.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=CityRail_K_set&diff=prev&oldid=580573356"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Sasha_Pavlovic&diff=prev&oldid=466802403"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Djolof&diff=prev&oldid=451256382"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Shop@Panasonic&diff=prev&oldid=497630603"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=British_12th_(Eastern)_Division&diff=prev&oldid=514755030"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:Adrian_Newman_(Dean)&diff=prev&oldid=441998018"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Arts&Craft&diff=prev&oldid=484592823"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Hierba_mate&diff=prev&oldid=464907354"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Talk:Associated_Newspapers&diff=prev&oldid=589678971"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Pictures_In_The_Mirror&diff=prev&oldid=557626553"",""diff"")"	
13	"=HYPERLINK(""http://enwp.org/User:ArmbrustBot"",""ArmbrustBot"")"	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	24.0	8.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:J._J._Jackson_(singer)_albums&diff=prev&oldid=560385739"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Gene_Ammons_albums&diff=prev&oldid=560385694"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Norman_Connors_albums&diff=prev&oldid=560385717"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Melvin_Sparks_albums&diff=prev&oldid=560385776"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Playback_(Sam_Lazar_album)&diff=prev&oldid=560385600"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Just_Chillin'&diff=prev&oldid=560385585"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Takin'_Off&diff=prev&oldid=560385611"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Barry_Adamson_albums&diff=prev&oldid=560385667"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Category:Nat_Adderley_albums&diff=prev&oldid=560385685"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=That's_Where_It's_At&diff=prev&oldid=560385627"",""diff"")"	
14	"=HYPERLINK(""http://enwp.org/User:RussBot"",""RussBot"")"	"=HYPERLINK(""http://enwp.org/User:タチコマ robot"",""タチコマ robot"")"	1354.0	1232.0	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Ferro_(comics)&diff=prev&oldid=197655709"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Franz_Joseph_von_Muench-Bellinghausen&diff=prev&oldid=214085028"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=European_African&diff=prev&oldid=229897773"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Operation_days_of_penitence&diff=prev&oldid=209796426"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Alexa_Trish&diff=prev&oldid=265610544"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=List_of_basic_internet_topics&diff=prev&oldid=221575126"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Nas_(Album)&diff=prev&oldid=225411365"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Achileas_Andreas_of_Greece&diff=prev&oldid=210138324"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Hard_Lovin'_Man_(song)&diff=prev&oldid=243862467"",""diff"")"	"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Exactly_solved_model&diff=prev&oldid=203206194"",""diff"")"	
