date	user accounts	new accts	>5 edits	>100 edits	article count	articles > 200ch	new per day	mean edits	edits
Jan 2001	1	1	0	0	25	12	1	9.4	234
Feb 2001	6	5	6	0	153	129	5	5.8	661
Mar 2001	18	12	20	0	566	533	13	3.7	1.2 k
Apr 2001	29	11	21	1	1.1 k	787	18	2.7	872
May 2001	37	8	24	2	2.3 k	1.3 k	38	2.1	1.9 k
Jun 2001	45	8	25	1	2.7 k	1.6 k	13	2.2	966
Jul 2001	61	16	47	0	3.5 k	2.3 k	27	2.2	1.7 k
Aug 2001	84	23	58	2	5.0 k	3.6 k	49	2.1	2.9 k
Sep 2001	128	44	99	6	7.7 k	5.7 k	88	2.1	5.5 k
Oct 2001	176	48	122	14	12 k	9.2 k	133	2.1	9.0 k
Nov 2001	221	45	153	24	15 k	12 k	94	2.6	13 k
Dec 2001	291	70	183	29	16 k	14 k	59	3.5	19 k
Jan 2002	344	53	152	21	18 k	16 k	48	3.9	14 k
Feb 2002	389	45	147	32	25 k	24 k	263	4.6	46 k
Mar 2002	431	42	163	34	28 k	26 k	80	4.9	20 k
Apr 2002	456	25	136	27	30 k	28 k	62	5.2	16 k
May 2002	478	22	126	28	31 k	29 k	57	5.4	17 k
Jun 2002	517	39	150	41	34 k	32 k	93	5.7	25 k
Jul 2002	576	59	197	46	37 k	35 k	90	6.1	29 k
Aug 2002	666	90	239	71	42 k	39 k	149	6.6	51 k
Sep 2002	763	97	299	89	51 k	48 k	310	6.8	72 k
Oct 2002	869	106	318	96	88 k	85 k	1205	5	96 k
Nov 2002	931	62	307	76	94 k	90 k	176	5.3	52 k
Dec 2002	1029	98	338	83	98 k	94 k	141	5.9	87 k
Jan 2003	1173	144	486	111	104 k	100 k	192	6.3	74 k
Feb 2003	1330	157	529	103	109 k	104 k	177	6.6	64 k
Mar 2003	1449	119	464	101	114 k	109 k	172	6.9	71 k
Apr 2003	1575	126	489	117	120 k	114 k	183	7.2	73 k
May 2003	1772	197	650	139	126 k	120 k	215	7.6	91 k
Jun 2003	1969	197	719	142	133 k	126 k	207	7.9	95 k
Jul 2003	2215	246	832	158	141 k	134 k	265	8.2	108 k
Aug 2003	2525	310	967	193	148 k	141 k	249	8.6	125 k
Sep 2003	2780	255	920	192	157 k	150 k	281	8.9	114 k
Oct 2003	3098	318	1093	190	164 k	157 k	231	9.3	123 k
Nov 2003	3430	332	1188	246	173 k	165 k	302	9.7	160 k
Dec 2003	3774	344	1283	262	184 k	176 k	356	10.1	179 k
Jan 2004	4139	365	1436	277	195 k	186 k	357	10.4	174 k
Feb 2004	4794	655	1985	385	210 k	200 k	524	10.8	240 k
Mar 2004	5648	854	2618	479	231 k	218 k	665	11.3	344 k
Apr 2004	6343	695	2617	460	249 k	233 k	602	11.8	316 k
May 2004	7088	745	2828	499	266 k	250 k	559	12.3	331 k
Jun 2004	7879	791	2973	538	284 k	266 k	593	13.1	453 k
Jul 2004	8836	957	3518	582	304 k	285 k	654	13.8	486 k
Aug 2004	9824	988	3676	666	325 k	304 k	654	14.5	506 k
Sep 2004	10891	1067	4097	717	345 k	323 k	686	15.2	523 k
Oct 2004	12204	1313	4654	732	368 k	344 k	734	15.8	579 k
Nov 2004	13641	1437	5214	885	394 k	367 k	866	16.6	744 k
Dec 2004	15128	1487	5710	859	420 k	385 k	850	17.3	718 k
Jan 2005	16474	1346	5635	800	443 k	392 k	713	17.8	613 k
Feb 2005	17836	1362	5594	796	462 k	406 k	713	18.3	600 k
Mar 2005	19688	1852	6998	993	488 k	426 k	839	19	781 k
Apr 2005	21979	2291	8203	1259	519 k	463 k	1005	19.8	1.0 M
May 2005	24405	2426	8926	1261	549 k	525 k	989	20.6	1.1 M
Jun 2005	27068	2663	9650	1415	583 k	559 k	1120	21.4	1.2 M
Jul 2005	30373	3305	11800	1662	625 k	600 k	1360	22.2	1.4 M
Aug 2005	33917	3544	12930	1795	668 k	643 k	1396	23	1.5 M
Sep 2005	36887	2970	12185	1599	705 k	680 k	1229	23.8	1.4 M
Oct 2005	40565	3678	13993	1810	748 k	723 k	1396	24.7	1.7 M
Nov 2005	44101	3536	14183	1872	789 k	763 k	1338	25.8	1.8 M
